,prod_name,rating,rating_count,desc,profile,vitolas,Binder,Filler,Flavored,Has Tip,More Details,Origin,Pressed,Profile,Shapes,Sweet,Wrapper,Brand:
0,1876 Reserve,Rated 4.3 out of 5, Based on 513 Ratings ,"Even gramps would be proud.On a trip to factories in the Dominican Republic some time ago, I was offered a boatload of a really nice, smooth handmade called 1876 Reserve. I’m guessing the manufacturer either drank too much Dominican rum or his abacus was busted. Don’t get me wrong, I certainly ain’t complaining because I think under normal circumstances it would’ve cost me twice as much to buy what I bought (I better remove his name from the mailing list so he doesn’t see this later). What I do know is that this is an incredibly mellow Dominican cigar that’s well worth our ridiculous 2-fer price. In fact, the buy-in here starts under two bucks apiece! Is that too cheap? Maybe it’s me that’s getting soft in the head. Oh well, if you like easy going cigars, you’ll love this deal.",Mellow,"['Churchill', 'Robusto', 'Toro', 'Torpedo']",Sumatra,Dominican,False,No,More Details,Dominican Republic,No,,"Churchill, Robusto, Toro, Torpedo",No,Connecticut,
1,1876 Reserve Maduro,Rated 4.19 out of 5, Based on 247 Ratings ,"A dark horse from 1876 Reserve.Maestro....drumroll please. And now, without further delay, enter 1876 Reserve Maduro. That's right, the fan-favorite 1876 Reserve now comes draped in a dark, juicy maduro wrapper leaf. The profile is still relatively tame, yet the darker, richer leaf adds a welcomed layer of complexity. And better yet, the price is exactly the same, right around two bucks apiece. I don't like taking credit when it's not due, but I definitely deserve a pat on the back for this one. Well-made Dominican lovelies stuffed with aged Dominican long-fillers and sporting a toothy maduro wrapper, all for pennies on the dollar. You can put this one at the top of the list for best damn value around. ",Mellow-Medium,"['Churchill', 'Robusto', 'Toro', 'Torpedo']",,Dominican,False,No,More Details,Dominican Republic,No,,"Churchill, Robusto, Toro, Torpedo",No,Maduro,
2,3x3 Tubos by Davidoff,Rated 4.44 out of 5, Based on 16 Ratings ,"3x3 = an Unbridled Winner! There’s tons of cigars that have gone the way of the Dodo bird over the last few years… but perhaps the most sought-after blend post-disappearing act is the famed 3x3. On paper, this cigar shouldn’t work. It’s just a collection of 9 cigars, packaged in three rows of three, that each come in aluminum tubes. But the secret to this one is in the sauce! Handmade by the folks behind the famed Davidoff brand, 3x3 tubos are produced in the Dominican Republic and feature a silky-smooth Ecuadorian Connecticut wrapper leaf. Underneath, you’ll find Dominican binder and long-fillers, delivering a toasty, earthy, slightly spicy profile with a smooth finish you’ll certainly love.",Mellow-Medium,"['Churchill', 'Corona', 'Robusto']",Dominican,Dominican,False,No,More Details,Dominican Republic,No,,"Churchill, Corona, Robusto",No,Connecticut,Davidoff
3,5 Vegas Big Five,Rated 4.22 out of 5, Based on 64 Ratings ,"High five! 5 Vegas's first new release in years is big. No, really. These suckers are HUGE. With each size weighing in at a hefty 60-ring gauge, these flavorful heavyweights are the all-you-can-eat buffet of the cigar world. And they're bulked up to contain that massive amount of flavor you'd expect from a 5 Vegas brand. Featuring a silky-smooth Ecuadorian Habano wrapper, these gems are packed to the gills with Habano tobaccos from Jalapa, Ometepe, Condega, and a pinch of ligeros from Esteli. This medium-bodied behemoth hits the spot with rich notes of earth, cedar, and a smooth finish with just a few touches of soft baking spices. Indeed, 5 Vegas delivers another home run here, ladies and gentleman. But what else would you expect from this industry classic that consistently churns out top-notch sticks at working man prices? ",Full,"['Churchill', 'Gordo', 'Torpedo']",Nicaraguan,Nicaraguan,False,No,More Details,Nicaragua,No,,"Churchill, Gordo, Torpedo",Varies,"Habano, Nicaraguan",5 Vegas
4,5 Vegas Cask-Strength,Rated 4.5 out of 5, Based on 101 Ratings ,"A luxurious encore presentation.The term ’cask strength’ is a term single-malt scotch and malt whisky enthusiasts are familiar with. Cask strength refers to whiskies that are undiluted, usually creating a powerful bottling strength, high alcohol content, and ample character. That was the inspiration for 5 Vegas Cask-Strength and the blend lives up to the name....and then some.Hailing from Esteli, the cigar-making capital of Nicaragua, 5 Vegas Cask-Strength will captivate you from the get-go. Dressed in a stunning, reddish-hued Corojo wrapper from Nicaragua - one that’s dark and oozing with oils - this 6""x52 Toro is lovingly box-pressed for maximum flavor. Beneath this exquisite wrapper, a bold combination of aged ligeros from Nicaragua, Honduras, and beyond has been expertly blended. Cask-Strength opens with a feisty bouquet loaded with hearty spices. An eventful opening indeed - which prepares the palate for a deep series of oak, cedar, earth, and toast. Spicy throughout with a warm, toasty aroma, expect a full-bodied and full-flavored crescendo as you gradually approach the nub. Marvelous!Cask-Strength is also available in a 6""x60 Firkin size - with loads of extra flavor and body, this cigar is perfect for those who love big-ring value.",Medium-Full,"['Gordo', 'Toro']",Nicaraguan,"Honduran, Nicaraguan",False,No,More Details,Nicaragua,Yes,,"Gordo, Toro",No,Corojo,5 Vegas
5,5 Vegas Classic,Rated 4.45 out of 5, Based on 751 Ratings ,"A top-seller for nearly two decades!Ain't nothing like a classic, that much is true. Behold, the original, 90-rated 'red label' 5 Vegas Classic....the popular blend that started it all for this beloved brand. It’s hard to argue with two decades of proven quality and even harder to argue with the millions of customers who’ve given 5 Vegas Classic their stamp of approval over the years. In short, this one’s a blue chip that’s somehow remained utterly affordable nearly a quarter century later. Expertly crafted by Nestor Plasencia, 5 Vegas Classic is a savory blend of Cuban-seed long-fillers from Nicaragua and the Dominican Republic paired with a dark, oily Sumatra wrapper. This virtuous combination delivers one of the most consistently delicious, medium-bodied handmades you can get. Rich and creamy notes of deep tobacco flavors mingle with hints of toast, coffee, nuts, and gentle spices on the finish. A ton of complex and satisfying nuances to satisfy even the most fancy-pants critics, eight awesome sizes, one hellaciously affordable cost to you....in short, front row quality at Uecker seat prices. This 90-rated beauty’s got all the right stuff. 5 Vegas Classic received a healthy '90' rating noting: “A solid medium bodied cigar. It is filled with complex earth flavors, and a pleasant coffee ground taste. It is also very smooth."" ",Medium,"['Churchill', 'Corona', 'Double Corona', 'Gordo', 'Lancero/Panatela', 'Robusto', 'Torpedo']",Nicaraguan,"Dominican, Nicaraguan",False,No,More Details,Nicaragua,Varies,,"Churchill, Corona, Double Corona, Gordo, Lancero/Panatela, Robusto, Torpedo",No,Sumatra,5 Vegas
6,5 Vegas Gold,Rated 4.52 out of 5, Based on 1322 Ratings ,"Solid gold.Despite the pomp and circumstance surrounding full-bodied, powerhouse cigars these days, smooth cigars still rule. Without a doubt, the uber-popular 5 Vegas Gold is the perfect example. This gorgeous creature is crafted by industry legend Nestor Plasencia with extensively aged tobaccos, including a beautiful, almost shimmering Ecuador Connecticut wrapper leaf with a rich satiny texture. This charming blend is the big easy. I’ll recite the reasons chapter and verse. Top quality tobaccos? Check. 5 year aged long-fillers? Check. Seamless wrappers? Check. Made in one of Honduras’ top factories? Check. Handsome packaging? Check. Toast the foot and take a draw. You’ll see some spirit up front: a slight nutty taste followed by some zesty peppery notes on the back of the palate. A feisty sucker! But instantly it mellows into a polished smoothness with ample creaminess. It stays utterly consistent from here on out, well-balanced with a sturdy creamy foundation, and booms out thick clouds. What a charmer! Right around medium it is, not super-mellow, but just shy of a middleweight. The fantastic “gold bar” style packaging and an astonishingly reasonable price point round it out. 5 Vegas Gold is a positively delightful blend! ",Mellow-Medium,"['Belicoso', 'Churchill', 'Corona', 'Gordo', 'Gordo Extra', 'Presidente', 'Robusto', 'Toro', 'Torpedo']",Honduran,"Honduran, Nicaraguan",False,No,More Details,Honduras,Varies,,"Belicoso, Churchill, Corona, Gordo, Gordo Extra, Presidente, Robusto, Toro, Torpedo",No,Ecuador Connecticut,5 Vegas
7,5 Vegas Gold Anniversary,Rated 4.67 out of 5, Based on 3 Ratings ,"A golden anniversary, the 5 Vegas way.By now, you’ve probably had a chance to try the 5 Vegas Gold. If not, let me fill you in. 5 Vegas Gold is a juggernaut. The best-selling, mellow premium quickly became one of the most popular blends in the business, and now it’s time to celebrate that legacy with the irresistible 5 Vegas Gold Anniversary line, and one of the best names in the biz when it comes to anniversary editions.Created in collaboration with Nick Perdomo and made in the same factory that brought us the 10th Anniversary Champagne, the Craft Series, and the best-selling Lot 23, this beautiful handmade cigar comes meticulously wrapped in a carefully grown Connecticut leaf, with nearly invisible seams and a satiny, smooth texture. Underneath, a well-aged blend of Nicaraguan fillers gives the smooth, mellow profile a bit of extra spice and a rich character. This cigar is brimming with complexity and nuance, the price is right, and with a name like Perdomo handling production, the word is going to spread like wildfire. It's obvious you can't go wrong with this one, so grab a box and be part of the celebration!",Mellow-Medium,"['Churchill', 'Robusto', 'Toro']",,Nicaraguan,False,No,More Details,Nicaragua,False,,"Churchill, Robusto, Toro",False,Connecticut,5 Vegas
8,5 Vegas Limitada 2019,Rated 4.8 out of 5, Based on 5 Ratings ,"The wait is over.Listen up! It’s that time of year again, and your eyes aren’t deceiving you. CI Nation’s favorite limited edition release is back for its fourteenth year, and it’s never been quite this tasty. I’m of course talking about the 5 Vegas Limitada, and this year the blend is a bit more complex, but just as smooth as it’s always been.This is the first year the Limitada 2019 has been rolled in a 6” x 50 toro size, and it starts with some seriously high quality tobacco: a high-priming blend of Nicaraguan and Dominican long-fillers, beneath a Cameroon binder and a delicious Nicaragua wrapper. The medium-full bodied flavors of oak, pepper, cedar, and espresso have already captivated the whole office, and has us all wishing it were a mainstay. But alas, nothing this good lasts forever, so you’ll want to act fast and grab your 5 Vegas Limitada 2019 before they’re just a pile of ash and a good memory!",Medium,['Toro'],Cameroon,"Dominican, Nicaraguan",False,No,More Details,Dominican Republic,No,,Toro,No,Nicaraguan,5 Vegas
9,5 Vegas Limitada 2020,Rated 4 out of 5, Based on 3 Ratings ,"What time is it?!? You know!For fifteen years now, we here at Cigars International have been bringing all of you in our CI Nation a limited-edition release cigar that knocks the previous year into the wind. Well, I’m happy to say that we have once again we have surpassed our own expectations with the 5 Vegas Limitada 2020!Produced in Estelí Nicaragua, this cigar takes Peruvian and Nicaraguan long-fillers and cloaks them with a dark, oily Connecticut Broadleaf wrapper creating a delicious medium to full-bodied robust flavor profile guaranteed to please the palate. Notes of leather, earth, cedar, and espresso flood the senses throughout the long, slow burn enhancing the experience. The 5 Vegas Limitada 2020 is the perfect cigar to sit back and relax with anytime of the day! It’s that time again…get your limited-edition addition before they are gone!  ",Medium-Full,['Torpedo'],Nicaraguan,"Nicaraguan, Peruvian",False,No,More Details,Nicaragua,False,,Torpedo,False,"Connecticut Broadleaf, Maduro",5 Vegas
